repositório,título,descrição,labels
nopSolutions/nopCommerce,"Discount Limitation ""N Times Per Customer"" Not Enforced for Guest Customers","## Description
In nopCommerce 4.60, the ""N times per customer"" discount limitation is not enforced for guest customers. This allows guest customers to use the same discount code multiple times, even when the limitation is set to 1. This results in revenue loss and undermines discount campaign integrity.

## Steps to Reproduce
1. Create a discount with ""N times per customer"" = 1 and a coupon code (e.g., THANKYOU10).
2. Place an order as a guest customer using the code.
3. Place another order as the same guest customer (same customer ID) and use the code again.
4. The discount is incorrectly applied a second time.

## Expected Behavior
The system should reject the discount code on the second use by the same guest customer and display an error such as ""This coupon code has already been used"".

## Actual Behavior
The discount is accepted and applied successfully for the second order by the same guest customer. No error is shown.

## Root Cause
In `DiscountService.cs`, the limitation check for `DiscountLimitationType.NTimesPerCustomer` is only performed for registered customers:

```csharp
case DiscountLimitationType.NTimesPerCustomer:
    if (await _customerService.IsRegisteredAsync(customer))
    {
        var usedTimes = (await GetAllDiscountUsageHistoryAsync(discount.Id, customer.Id, null, false, 0, 1)).TotalCount;
        if (usedTimes >= discount.LimitationTimes)
        {
            result.Errors = new List<string> {await _localizationService.GetResourceAsync(""ShoppingCart.Discount.CannotBeUsedAnymore"") };
            return result;
        }
    }
    break;
```

This check is skipped for guests, so the limitation is not enforced.

## Proposed Fix
Remove the `IsRegisteredAsync` check and always check the usage count for the customer ID, regardless of registration status:

```csharp
case DiscountLimitationType.NTimesPerCustomer:
    var usedTimes = (await GetAllDiscountUsageHistoryAsync(discount.Id, customer.Id, null, false, 0, 1)).TotalCount;
    if (usedTimes >= discount.LimitationTimes)
    {
        result.Errors = new List<string> {await _localizationService.GetResourceAsync(""ShoppingCart.Discount.CannotBeUsedAnymore"") };
        return result;
    }
    break;
```

This ensures the limitation is enforced for both registered and guest customers.

## Impact
- Major revenue impact for stores running discount campaigns.
- Guest customers can repeatedly use limited-use discount codes.
",
nopSolutions/nopCommerce,Use ISO 8601 with timezone for DateTime properties in the JSON-LD models,All DateTime fields in JSON-LD models must be serialized in ISO 8601 format with timezone,refactoring / source code
opencart/opencart,Item removal handler conflicting with coupon removal button in shopping cart,"**What version of OpenCart are you reporting this for?**
4.1.0.3

**Describe the bug**
When viewing the shopping cart, users are able to add coupons, but are not able to remove them. After the coupon removal button exits the ""loading"" status, nothing appears to the user. When inspecting the behavior via the browser dev tools, the actual network request is made to `?route=checkout/cart&language=en-gb`. The coupon's removal button has `formaction=""...?route=extension/opencart/checkout/coupon.remove&language=en-gb""`, so obviously there's an issue here.

Upon further investigation, the issue seems to be that the shopping cart handler for removing products has too broad of a scope, and is catching the event when the coupon removal button is clicked. This is because the coupon stuff is rendered inside the `#shopping-cart` element, and since the removal button has the `.btn-danger` class, and because the shopping cart handler for removing products is applied later than the expected handler in `common.js`, it ultimately undesirably handles the click.

Handler for removing products:
https://github.com/opencart/opencart/blob/90dcdfa7503ada4dbfcf41d92b14af36e57b21fd/upload/catalog/view/template/checkout/cart.twig#L66

Coupon removal button:
https://github.com/opencart/opencart/blob/90dcdfa7503ada4dbfcf41d92b14af36e57b21fd/upload/extension/opencart/catalog/view/template/checkout/coupon.twig#L15

Intended handler:
https://github.com/opencart/opencart/blob/90dcdfa7503ada4dbfcf41d92b14af36e57b21fd/upload/catalog/view/javascript/common.js#L118

**To Reproduce**
Steps to reproduce the behavior:
1. Add any product to the shopping cart
2. View the shopping cart
3. Add a coupon
4. Click the button to remove the coupon

**Expected behavior**
The coupon should be removed, and the user should recieve a success alert.

**Server / Test environment:**
 - Local development on the host (no Docker)
 - Linux Mint 22.1
 - PHP 8.3.23
 - Brave 1.80.115 (Chromium: 138.0.7204.97)

**Suggested Resolution:**
As far as I can tell, there's two approaches to fix it. I'm willing to do a PR for the fix, but wanted some feedback from others first. Both fixes would be in `cart.twig`.
1. Change the handler scope to use `#output-cart` instead of `#shopping-cart`.
2. Add a dedicated class to the product removal `<a>` elements (e.g. `.remove-item`) and update the handler's selector to use that class instead of `.btn-danger`.",
opencart/opencart,Opencart demo website not working,"**What version of OpenCart are you reporting this for?**
NA

**Describe the bug**
Getting Connection Timed Out error when I try to access https://demo.opencart.com/

What section does it affect?
Homepage

**To Reproduce**
Steps to reproduce the behavior:
1. Go to https://demo.opencart.com/
2. See error

**Expected behavior**
Access to the site

**Screenshots / Screen recordings**
Screenshot attached

<img width=""1920"" height=""1140"" alt=""Image"" src=""https://github.com/user-attachments/assets/3935312d-904e-4725-be74-928dd13ba25b"" />

",
opencart/opencart,New,"**What version of OpenCart are you reporting this for?**

**Describe the bug**
A clear and concise description of what the bug is
What section does it affect?

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots / Screen recordings**
If applicable, add screenshots or recordings to help explain your problem. Please keep these short and if you can, edit them to point out when/where the problem is.
https://www.useloom.com/ is perfect for screen recording with Chrome or with their desktop app

**Server / Test environment (please complete the following information):**
 - Local development? Deployed to a web server?
 - Operating system
 - PHP version
 - Apache version
 - Browser(s) tested with [e.g. chrome, safari - if applicable]
 - Version [e.g. 22]

**Additional context**
Add any other context about the problem here.
",
opencart/opencart,"Inconsistency in validations, controllers without trim Opencart 3.0.4.1 and older.","Hi,

I recommend unifying the inconsistency of validation in address controllers, I encountered this when I created an ocmod where it was necessary to modify the validation $this->request->post['city']

Without trim post['city']:
catalog/controller/api/payment.php
47: if ((utf8_strlen($this->request->post['city']) < 2) || (utf8_strlen($this->request->post['city']) > 32)) {
catalog/controller/api/shipping.php
48: if ((utf8_strlen($this->request->post['city']) < 2) || (utf8_strlen($this->request->post['city']) > 128)) {
catalog/controller/checkout/payment_address.php
117: if ((utf8_strlen($this->request->post['city']) < 2) || (utf8_strlen($this->request->post['city']) > 32)) {

In the catalog/controller/checkout/payment_address.php controller, > 32 was already fixed in Opencart 3.0.4.2

All controllers without trim:
catalog/controller/api/shipping.php 
48: if ((utf8_strlen($this->request->post['city']) < 2) || (utf8_strlen($this->request->post['city']) > 128)) {
catalog/controller/api/voucher.php 
89: if ((utf8_strlen($this->request->post['from_name']) < 1) || (utf8_strlen($this->request->post['from_name']) > 64)) { 
97: if ((utf8_strlen($this->request->post['to_name']) < 1) || (utf8_strlen($this->request->post['to_name']) > 64)) {
catalog/controller/extension/module/paypal_smart_button.php 
1633: if ((utf8_strlen($this->request->post['telephone']) < 3) || (utf8_strlen($this->request->post['telephone']) > 32)) {
catalog/controller/extension/payment/paypal.php 
5608: if ((utf8_strlen($this->request->post['telephone']) < 3) || (utf8_strlen($this->request->post['telephone']) > 32)) {
catalog/controller/checkout/guest.php 
176: if ((utf8_strlen($this->request->post['telephone']) < 3) || (utf8_strlen($this->request->post['telephone']) > 32)) {
catalog/controller/checkout/payment_address.php 
117: if ((utf8_strlen($this->request->post['city']) < 2) || (utf8_strlen($this->request->post['city']) > 32)) {
catalog/controller/checkout/register.php 
130: if ((utf8_strlen($this->request->post['telephone']) < 3) || (utf8_strlen($this->request->post['telephone']) > 32)) {
catalog/controller/information/contact.php 
145: if ((utf8_strlen($this->request->post['name']) < 3) || (utf8_strlen($this->request->post['name']) > 32)) { 
153: if ((utf8_strlen($this->request->post['enquiry']) < 10) || (utf8_strlen($this->request->post['enquiry']) > 3000)) {
catalog/controller/product/product.php 
589: if ((utf8_strlen($this->request->post['name']) < 3) || (utf8_strlen($this->request->post['name']) > 25)) { 
593: if ((utf8_strlen($this->request->post['text']) < 25) || (utf8_strlen($this->request->post['text']) > 1000)) {",
opencart/opencart,admin menu error,"https://github.com/opencart/opencart/blob/77ef9b7af23a26609793dda2bc76436e11bb7d39/upload/admin/controller/tool/menu.php#L95

array_merge(): Argument #2 must be of type array, null given in ../admin/controller/tool/menu.php on line 95",
opencart/opencart,"Admin cache refresh doesn't work, No response.","https://github.com/opencart/opencart/blob/2c42b9a9160f8ae567cd03a0f0012ca3660e9091/upload/admin/controller/common/developer.php#L72

 Call to undefined function Opencart\Admin\Controller\Common\oc_delete_file() in ../admin/controller/common/developer.php on line 72",
PrestaShop/PrestaShop,"For security reasons, you cannot connect to the back office until you have:  SSL is activated. Please connect using the following link to log in to secure mode (https://)","### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

PrestaShop 9.0 and 9.1 same identical issues

PS_ENABLE_SSL: 1 

is activated on docker compose

PS_DOMAIN: prestashop.mariushosting.synology.me

too.

Unable to replicate this issue on the old 8.2.2 version

<img width=""1195"" height=""603"" alt=""Image"" src=""https://github.com/user-attachments/assets/c7be8010-eeaf-4e6d-8694-e061895f81ae"" />

### Expected behavior

PS_ENABLE_SSL: 1 

should work

### Steps to reproduce

PS_ENABLE_SSL: 1 

### PrestaShop version(s) where the bug happened

9.0

### How you installed PrestaShop

_No response_

### PHP version(s) where the bug happened

_No response_

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

_No response_","Bug, New"
PrestaShop/PrestaShop,Error installing PrestaShop 8 locally,"### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

Hello,

I have a store running PrestaShop 1.7 and I'm preparing to switch it to PrestaShop 8. I'm preparing for a PHP 8.3.1 environment.
I want to develop this new store locally initially.
I installed Mamp and downloaded Prestahsop 8. After finding several fixes online to make Mamp work, the installation went smoothly until ""Store Installation"" and ""Theme Installation.""
From then on, I consistently get a 500 error: ""1: HTTP 500 - error - {""success"":true,""message"":""""}""

Here are the error logs.
In php_error.log (examples but no fatal error) :

[01-août-2025 19:46:20 Europe/Paris] PHP obsolète : la création de la propriété dynamique PrestaShopLogger::$hash est obsolète dans C:\MAMP\htdocs\prestashop8\classes\PrestaShopLogger.php à la ligne 194
[01-août-2025 19:46:20 Europe/Paris] PHP obsolète : la création de la propriété dynamique PrestaShopLogger::$hash est obsolète dans C:\MAMP\htdocs\prestashop8\classes\PrestaShopLogger.php à la ligne 194
[01-août-2025 19:46:20 Europe/Paris] PHP obsolète : la création de la propriété dynamique PrestaShopLogger::$hash est obsolète dans C:\MAMP\htdocs\prestashop8\classes\PrestaShopLogger.php à la ligne 194
[01-août-2025 19:47:00 Europe/Paris] Avis PHP : stream_copy_to_stream() : la lecture de 8 192 octets a échoué avec l’erreur 13. Permission refusée dans C:\MAMP\htdocs\prestashop8\vendor\symfony\symfony\src\Symfony\Component\Filesystem\Filesystem.php à la ligne 66
[01-août-2025 19:47:03 Europe/Paris] Avertissement PHP : filemtime() : stat failed for C:\MAMP\htdocs\prestashop8\var\cache\prod\ContainerI3OtKvw\appAppKernelProdContainer.php in C:\MAMP\htdocs\prestashop8\vendor\symfony\symfony\src\Symfony\Bundle\FrameworkBundle\Command\CacheClearCommand.php on line 109
[01-août-2025 19:47:03 Europe/Paris] Avertissement PHP : require(C:\MAMP\htdocs\prestashop8\var\cache\prod\ContainerI3OtKvw\getConsole_Command_CacheWarmupService.php) : Failed to open stream: No such file or directory in C:\MAMP\htdocs\prestashop8\var\cache\prod\ContainerI3OtKvw\appAppKernelProdContainer.php à la ligne 2227
[01-août-2025 19:47:03 Europe/Paris] Avertissement PHP : require(C:\MAMP\htdocs\prestashop8\var\cache\prod\ContainerI3OtKvw\getSwiftmailer_EmailSender_ListenerService.php) : Échec de l’ouverture du flux : aucun fichier ou répertoire de ce type dans C:\MAMP\htdocs\prestashop8\var\cache\prod\ContainerI3OtKvw\appAppKernelProdContainer.php à la ligne 2227

In Access.log :

127.0.0.1 - - [01/août/2025:19:41:14 +0200] ""POST /prestashop8/install/index.php HTTP/1.1"" 200 4306
127.0.0.1 - - [01/août/2025:19:41:15 +0200] ""GET /prestashop8/install/index.php?compile_templates=1&bo=1 HTTP/1.1"" 500 20
127.0.0.1 - - [01/août/2025:19:41:15 +0200] ""GET /prestashop8/install/index.php?compile_templates=1&bo=0 HTTP/1.1"" 500 20
127.0.0.1 - - [01/août/2025:19:41:19 +0200] ""POST /prestashop8/install/index.php HTTP/1.1"" 200 2851
127.0.0.1 - - [01/août/2025:19:41:20 +0200] ""GET /prestashop8/install/sandbox/anything.php HTTP/1.1"" 200 22
127.0.0.1 - - [01/août/2025:19:41:20 +0200] ""GET /prestashop8/install/index.php?compile_templates=1&bo=1 HTTP/1.1"" 500 20
127.0.0.1 - - [01/août/2025:19:41:20 +0200] ""GET /prestashop8/install/index.php?compile_templates=1&bo=0 HTTP/1.1"" 500 20
127.0.0.1 - - [01/août/2025:19:41:25 +0200] ""GET /prestashop8/install/index.php?checkDb=true&dbServer=127.0.0.1&dbName=localinstallation&dbLogin=root&dbPassword=root&db_prefix=ps_&clear=1&_=1754070079940 HTTP/1.1"" 200 68
127.0.0.1 - - [01/août/2025:19:41:28 +0200] ""POST /prestashop8/install/index.php HTTP/1.1"" 200 3258
127.0.0.1 - - [01/août/2025:19:41:29 +0200] ""GET /prestashop8/install/index.php?compile_templates=1&bo=1 HTTP/1.1"" 500 20
127.0.0.1 - - [01/août/2025:19:41:29 +0200] ""GET /prestashop8/install/index.php?compile_templates=1&bo=0 HTTP/1.1"" 500 20
127.0.0.1 - - [01/août/2025:19:41:29 +0200] ""GET /prestashop8/install/index.php?generateSettingsFile=true&_=1754070089523 HTTP/1.1"" 200 47
127.0.0.1 - - [01/août/2025:19:41:32 +0200] ""GET /prestashop8/install/index.php?installDatabase=true&_=1754070089524 HTTP/1.1"" 200 47
127.0.0.1 - - [01/août/2025:19:44:51 +0200] ""GET /prestashop8/install/index.php?installDefaultData=true&_=1754070089525 HTTP/1.1"" 200 47
127.0.0.1 - - [01/août/2025:19:45:41 +0200] ""GET /prestashop8/install/index.php?populateDatabase=true&_=1754070089526 HTTP/1.1"" 200 47
127.0.0.1 - - [01/août/2025:19:45:52 +0200] ""RÉCUPÉRER /prestashop8/install/index.php?configureShop=true&_=1754070089527 HTTP/1.1"" 200 47
127.0.0.1 - - [01/août/2025:19:46:01 +0200] ""RÉCUPÉRER /prestashop8/install/index.php?installTheme=true&_=1754070089528 HTTP/1.1"" 500 539

Thank you for any help you can provide.

Claire

### Expected behavior

<img width=""1328"" height=""845"" alt=""Image"" src=""https://github.com/user-attachments/assets/d0278de9-8d6f-4077-ae1a-31b94a987fce"" />
<img width=""1529"" height=""893"" alt=""Image"" src=""https://github.com/user-attachments/assets/52a7ec84-a9b9-4242-8116-41e87dc9ef2f"" />

### Steps to reproduce

1. Install prestashop 8 localy
2. Execute prestashop 8 with php 8.3.1
3. Bug at the end of install

### PrestaShop version(s) where the bug happened

prestashop 8 with php 8.3.1

### How you installed PrestaShop

locally with mamp

### PHP version(s) where the bug happened

8.3.1

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

_No response_","Bug, New"
PrestaShop/PrestaShop,Bad badge when update to 8.2.2,"### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

An incorrect badge is displayed for update 8.2.2

See screenshot

<img width=""2246"" height=""512"" alt=""Image"" src=""https://github.com/user-attachments/assets/b5634ea4-fd6c-4ffe-9f3b-1e3f22dc25c0"" />

### Expected behavior

Good badge

### Steps to reproduce

Try update to 8.2.2 

### PrestaShop version(s) where the bug happened

module version 7.3

### How you installed PrestaShop

_No response_

### PHP version(s) where the bug happened

_No response_

### If your bug is related to a module, specify its name and its version

autoupgrade

### Your company or customer's name goes here (if applicable).

_No response_","Bug, New"
