fonte,repositorio,titulo,conteudo,categoria,metadata,timestamp
comentario_issue,magento/magento2,Comentário na issue #29850,":white_check_mark: Confirmed by @engcom-Delta 
 Thank you for verifying the issue. Based on the provided information internal tickets `MC-40279` were created

**Issue Available**: @engcom-Delta, _You will be automatically unassigned. Contributors/Maintainers can claim this issue to continue. To reclaim and continue work, reassign the ticket to yourself._",comentario,{'issue_numero': 29850},2025-08-06T20:13:47.418912
issue,magento/magento2,[2.2.4][Performance][Listing][CE/EE] Too much product collection loads,"Issue: [2.2.4][Performance][Listing][CE/EE] Too much product collection loads

Descrição: ### Preconditions
1. Magento 2.2.4 Commerce/Community (same for previous 2.2.x versions, at least tested on 2.2.3)


### Steps to reproduce
1. Install clean Magento 2.2.3+ Community/Commerce with sample data
2. Disable Full Page Cache
3. Add logging to one of these places (this will support repositories & direct collection calls) :
- `Magento\Catalog\Model\ResourceModel\Product\Collection::_afterLoad()`
- Observe `catalog_product_collection_load_after` event.

It can be very simple & dirty logging, since our objective here is only to fetch amount of collection loads:

`\Magento\Framework\App\ObjectManager::getInstance()->get(\Psr\Log\LoggerInterface::class)->critical('product collection loaded!');`

4. Visit any listing page which contain configurable products. For example:
> /men/tops-men/tees-men.html


### Expected result
1. 30 configurable products on the page = 1 line in the log (1 product collection load).
2. 15 configurable products on the page = 1 line in the log (1 product collection load).
3. 9 configurable products on the page = 1 line in the log (1 product collection load).


### Actual result
1. 30 configurable products on the page = 31 lines in the log (31 product collection loads).
2. 15 configurable products on the page = 16 lines in the log (16 product collection loads).
3. 9 configurable products on the page = 10 lines in the log (10 product collection loads).


After some investigation, I noted that here is specific method, which loaded child product collection for each separate configurable product on the listing page:

`Magento\ConfigurableProduct\Pricing\Price\LowestPriceOptionsProvider::getProducts(ProductInterface $product)`
It's code - http://prntscr.com/jdsxq8

This method called from next places:
1. `Magento\ConfigurableProduct\Pricing\Render\FinalPriceBox::hasSpecialPrice`
2. `Magento\ConfigurableProduct\Pricing\",issue_fechada,"{'labels': ['priority: p2', 'area: catalog', 'area: performance', 'reproduced on 2.4.x', 'reproduced on 2.2.x', 'reproduced on 2.3.x', 'issue: confirmed', 'progress: ready for dev', 'reproduced on 2.1.x', 'severity: s2', 'component: configurableproduct'], 'numero': 15001, 'relevante': False, 'comentarios': 11}",2025-08-06T20:13:48.164125
comentario_issue,magento/magento2,Comentário na issue #15001,@thiagolima-bm Hi! For now I have no free time to make such changes. So I decided at least to report this here.,comentario,{'issue_numero': 15001},2025-08-06T20:13:48.948668
comentario_issue,magento/magento2,Comentário na issue #15001,"@IgorVitol, thank you for your report.
We've acknowledged the issue and added to our backlog.",comentario,{'issue_numero': 15001},2025-08-06T20:13:48.948668
issue,magento/magento2,Paypal payflow Credit card details saved for later use are not showing up on stored payment method page,"Issue: Paypal payflow Credit card details saved for later use are not showing up on stored payment method page

Descrição: ### Preconditions and environment

- Magento version should be 2.4.7-p6. Also reproducible on 2.4.8
- Need Payment method: Paypal Payflow Credit Card


### Steps to reproduce

1. Placed an order with logged in customer using payment method (Paypal Payflow Credit Card) and checked checkbox of Save credit card details.
2. Navigate to Stored Payment Cards section in My Account on frontend.

### Expected result

After checked the checkbox, credit card details should be shown in My Account section> Stored Payment Cards

### Actual result

No credit card details are showing

### Additional information

_No response_

### Release note

_No response_

### Triage and priority

- [ ] Severity: **S0** _- Affects critical data or functionality and leaves users without workaround._
- [ ] Severity: **S1** _- Affects critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S2** _- Affects non-critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S3** _- Affects non-critical data or functionality and does not force users to employ a workaround._
- [ ] Severity: **S4** _- Affects aesthetics, professional look and feel, “quality” or “usability”._",issue_fechada,"{'labels': ['area: payments', 'reproduced on 2.4.x', 'component: checkout', 'issue: confirmed', 'reported on 2.4.7-p6'], 'numero': 40099, 'relevante': False, 'comentarios': 13}",2025-08-06T20:13:50.138620
comentario_issue,magento/magento2,Comentário na issue #40099,"Hi @Hermione011. Thank you for your report. 
To speed up processing of this issue, make sure that the issue is reproducible on the vanilla Magento instance following **Steps to reproduce**. 
- For more details, review the [Magento Contributor Assistant](https://developer.adobe.com/commerce/contributor/guides/code-contributions/#contributor-assistant) documentation.
- Add a comment to [assign the issue](https://developer.adobe.com/commerce/contributor/guides/code-ontributions/#assigning-an-issue): `@magento I am working on this` 
- To learn more about issue processing workflow, refer to the [Code Contributions](https://developer.adobe.com/commerce/contributor/guides/code-contributions/).
---
Join [Magento Community Engineering Slack](https://developer.adobe.com/open/magento/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel. 
 :warning: According to the Magento Contribution requirements, all issues must go through the Community Contributions Triage process. Community Contributions Triage is a public meeting. 
:clock10: You can find the schedule on the [Magento Community Calendar page](https://www.adobe.io/open/magento/calendar).
:telephone_receiver: The triage of issues happens in the queue order. If you want to speed up the delivery of your contribution, join the Community Contributions Triage session to discuss the appropriate ticket.",comentario,{'issue_numero': 40099},2025-08-06T20:13:50.937089
comentario_issue,magento/magento2,Comentário na issue #40099,"Hi @engcom-Bravo. Thank you for working on this issue. 
In order to make sure that issue has enough information and ready for development, please read and check the following instruction: :point_down:
- [ ] 1. Verify that issue has all the required information. (**Preconditions**, **Steps to reproduce**, **Expected result**, **Actual result**).
- [ ] 2. Verify that issue has a meaningful description and provides enough information to reproduce the issue. 
- [ ] 3. Add `Area: XXXXX` label to the ticket, indicating the functional areas it may be related to.
- [ ] 4. Verify that the issue is reproducible on `2.4-develop` branch<details><summary>Details</summary>- If the issue is reproducible on `2.4-develop` branch, please, add the label `Reproduced on 2.4.x`.<br/>- If the issue is not reproducible, add your comment that issue is not reproducible and close the issue and **_stop verification process here_**!</details>
- [ ] 5. Add label `Issue: Confirmed` once verification is complete. 
- [ ] 6. Make sure that automatic system confirms that report has been added to the backlog.",comentario,{'issue_numero': 40099},2025-08-06T20:13:50.937089
comentario_issue,magento/magento2,Comentário na issue #40099,"Hi @engcom-November. Thank you for working on this issue. 
In order to make sure that issue has enough information and ready for development, please read and check the following instruction: :point_down:
- [ ] 1. Verify that issue has all the required information. (**Preconditions**, **Steps to reproduce**, **Expected result**, **Actual result**).
- [ ] 2. Verify that issue has a meaningful description and provides enough information to reproduce the issue. 
- [ ] 3. Add `Area: XXXXX` label to the ticket, indicating the functional areas it may be related to.
- [ ] 4. Verify that the issue is reproducible on `2.4-develop` branch<details><summary>Details</summary>- If the issue is reproducible on `2.4-develop` branch, please, add the label `Reproduced on 2.4.x`.<br/>- If the issue is not reproducible, add your comment that issue is not reproducible and close the issue and **_stop verification process here_**!</details>
- [ ] 5. Add label `Issue: Confirmed` once verification is complete. 
- [ ] 6. Make sure that automatic system confirms that report has been added to the backlog.",comentario,{'issue_numero': 40099},2025-08-06T20:13:50.937089
issue,magento/magento2,RabbitMQ reject doesn't work on consumer exception,"Issue: RabbitMQ reject doesn't work on consumer exception

Descrição: ### Preconditions (*)
1. Magento 2.3.3

### Steps to reproduce (*)
1. Run any bulk WEBAPI import
2. Start the consumer
3. Within consumer throw an exception

### Expected result (*)
1. Message should returned to the queue

### Actual result (*)
1. Message was not returned to the queue, thus lost

Here is a code that explains that if an exception was thrown, then reject the message: vendor/magento/module-asynchronous-operations/Model/MassConsumerEnvelopeCallback.php:120
![image](https://user-images.githubusercontent.com/51681547/122412703-6bcabe00-cfa3-11eb-9692-1d34c2671596.png)
I found that requeue argument is set to false, so I manually changed it to true for test purposes. The message was not requeued as well.

If that is expected behavior, please tell me how can I manipulate basic_ack and basic_nack/basic_reject within consumers? I also posted the question on StackOverflow: https://magento.stackexchange.com/questions/335005/magento-2-rabbitmq-ack-or-reject-message/335023#335023

**Note:** Either I set requeue as **true** or **false** the behaviour is same. Exceptions, don't get requeue whether requeue variable is set as true. Please Fix the implementation of **requeue** argument under **reject** method",issue_fechada,"{'labels': ['component: asynchronousoperations', 'reproduced on 2.4.2', 'reproduced on 2.4.x', 'issue: clear description', 'reported on 2.3.3', 'issue: confirmed', 'progress: ready for dev', 'priority: p3'], 'numero': 32670, 'relevante': False, 'comentarios': 10}",2025-08-06T20:13:51.639235
comentario_issue,magento/magento2,Comentário na issue #32670,"Hi @madonzyaccenture. Thank you for your report. 
To help us process this issue please make sure that you provided the following information:
- Summary of the issue
- Information on your environment
- Steps to reproduce
- Expected and actual results

Please make sure that the issue is reproducible on the vanilla Magento instance following **Steps to reproduce**. To deploy vanilla Magento instance on our environment, please, add a comment to the issue: 

`@magento give me 2.4-develop instance` - upcoming 2.4.x release

For more details, please, review the [Magento Contributor Assistant](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#contributor-assist) documentation.

Please, add a comment to [assign the issue](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#assigning-an-issue): `@magento I am working on this` 

---
-  Join [Magento Community Engineering Slack](https://opensource.magento.com/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel. 



 :warning: According to the Magento Contribution requirements, all issues must go through the Community Contributions Triage process. Community Contributions Triage is a public meeting. 

:clock10: You can find the schedule on the [Magento Community Calendar page](https://opensource.magento.com/community-calendar).

:telephone_receiver: The triage of issues happens in the queue order. If you want to speed up the delivery of your contribution, please join the Community Contributions Triage session to discuss the appropriate ticket.

:movie_camera: You can find the recording of the previous Community Contributions Triage on the [Magento Youtube Channel](https://www.youtube.com/playlist?list=PLDvMskiz68Q2BLkj0-xzjuFl7ZVti9Quj)

 :pencil2: Feel free to post questions/proposals/feedback related to the Community Contributions Triage process to the corresponding [Slack Channel](https://magentocommeng.slack.com/archives/C016",comentario,{'issue_numero': 32670},2025-08-06T20:13:52.368352
comentario_issue,magento/magento2,Comentário na issue #32670,"Hi @engcom-Golf. Thank you for working on this issue. 
In order to make sure that issue has enough information and ready for development, please read and check the following instruction: :point_down:
- [ ] 1. Verify that issue has all the required information. (**Preconditions**, **Steps to reproduce**, **Expected result**, **Actual result**).<details><summary>Details</summary>If the issue has a valid description, the label `Issue: Format is valid` will be added to the issue automatically. Please, edit issue description if needed, until label `Issue: Format is valid` appears.</details>

- [ ] 2. Verify that issue has a meaningful description and provides enough information to reproduce the issue. If the report is valid, add `Issue: Clear Description` label to the issue by yourself.

- [ ] 3. Add `Component: XXXXX` label(s) to the ticket, indicating the components it may be related to.
- [ ] 4. Verify that the issue is reproducible on `2.4-develop` branch<details><summary>Details</summary>- Add the comment `@magento give me 2.4-develop instance` to deploy test instance on Magento infrastructure. <br/> - If the issue is reproducible on `2.4-develop` branch, please, add the label `Reproduced on 2.4.x`.<br/>- If the issue is not reproducible, add your comment that issue is not reproducible and close the issue and **_stop verification process here_**!</details>


- [ ] 5. Add label `Issue: Confirmed` once verification is complete. 

- [ ] 6. Make sure that automatic system confirms that report has been added to the backlog.",comentario,{'issue_numero': 32670},2025-08-06T20:13:52.368352
comentario_issue,magento/magento2,Comentário na issue #32670,"@madonzyaccenture As suggested rabbitMQ is configured, Product asynchronous bulk API **/rest/async/bulk/V1/products** is called.
Consumer **async.operations.all** queue is processed successfully without any exception. 

Please note that MessageLockException, ConnectionLostException, NotFoundException exceptions are already handled. 

**Can you please assist me to reproduce the 3rd Step. Your exception occur at what time?**",comentario,{'issue_numero': 32670},2025-08-06T20:13:52.368352
issue,magento/magento2,[Issue] Fix missing trailing semicolon for theme blank,"Issue: [Issue] Fix missing trailing semicolon for theme blank

Descrição: This issue is automatically created based on existing pull request: magento/magento2#32457: Fix missing trailing semicolon for theme blank

---------
<!---
    Thank you for contributing to Magento.
    To help us process this pull request we recommend that you add the following information:
     - Summary of the pull request,
     - Issue(s) related to the changes made,
     - Manual testing scenarios
    Fields marked with (*) are required. Please don't remove the template.
-->

<!--- Please provide a general summary of the Pull Request in the Title above -->

### Description (*)
<!---
    Please provide a description of the changes proposed in the pull request.
    Letting us know what has changed and why it needed changing will help us validate this pull request.
-->
Clean up missing parts in theme blank

### Related Pull Requests
<!-- related pull request placeholder -->

### Fixed Issues (if relevant)
<!---
    If relevant, please provide a list of fixed issues in the format magento/magento2#<issue_number>.
    There could be 1 or more issues linked here and it will help us find some more information about the reasoning behind this change.
-->
1. Fixes magento/magento2#<issue_number>

### Manual testing scenarios (*)
<!---
    Please provide a set of unambiguous steps to test the proposed code change.
    Giving us manual testing scenarios will help with the processing and validation process.
-->
1. ...
2. ...

### Questions or comments
<!---
	If relevant, here you can ask questions or provide comments on your pull request for the reviewer
	For example if you need assistance with writing tests or would like some feedback on one of your development ideas
-->

### Contribution checklist (*)
 - [ ] Pull request has a meaningful description of its purpose
 - [ ] All commits are accompanied by meaningful commit messages
 - [ ] All new or changed co",issue_fechada,"{'labels': ['area: ui framework', 'progress: pr in progress', 'reproduced on 2.4.x', 'reported on 2.4.x', 'priority: p4', 'component: theme', 'issue: confirmed'], 'numero': 32508, 'relevante': False, 'comentarios': 5}",2025-08-06T20:13:53.155237
comentario_issue,magento/magento2,Comentário na issue #32508,"Hi @engcom-November. Thank you for working on this issue. 
In order to make sure that issue has enough information and ready for development, please read and check the following instruction: :point_down:
- [ ] 1. Verify that issue has all the required information. (**Preconditions**, **Steps to reproduce**, **Expected result**, **Actual result**).
- [ ] 2. Verify that issue has a meaningful description and provides enough information to reproduce the issue. 
- [ ] 3. Add `Area: XXXXX` label to the ticket, indicating the functional areas it may be related to.
- [ ] 4. Verify that the issue is reproducible on `2.4-develop` branch<details><summary>Details</summary>- Add the comment `@magento give me 2.4-develop instance` to deploy test instance on Magento infrastructure. <br/> - If the issue is reproducible on `2.4-develop` branch, please, add the label `Reproduced on 2.4.x`.<br/>- If the issue is not reproducible, add your comment that issue is not reproducible and close the issue and **_stop verification process here_**!</details>
- [ ] 5. Add label `Issue: Confirmed` once verification is complete. 
- [ ] 6. Make sure that automatic system confirms that report has been added to the backlog.",comentario,{'issue_numero': 32508},2025-08-06T20:13:53.928402
comentario_issue,magento/magento2,Comentário na issue #32508,"Hello @mrtuvn,

Thank you for the report and collaboration.

Verified this issue on 2.4-develop.
Trailing semicolon is missing in certain less files, hence confirming the issue.",comentario,{'issue_numero': 32508},2025-08-06T20:13:53.928402
