"ID","Project","Connextra","Acceptance Criteria"
"576","A","As a customer, I would like to select and specify the payment method.",""
"578","A","As a customer, I would like to enter my contact details, billing and delivery address and password.",""
"580","A","As a customer, I would like to provide my contact details, billing and delivery address.",""
"582","A","As a customer, I would like to see an order overview page.",""
"584","A","As a customer, I would like to see and edit the goods + conditions in the shopping basket.",""
"586","A","As a customer, I would like listed search results.",""
"590","A","As a customer, I want relevant search results.",""
"594","A","As a customer, I would like to be able to filter my search results.",""
"596","A","As a customer, I would like to be able to see the co-operation partners.",""
"598","A","As a customer, I would like to be able to find out about the benefits of the product.",""
"600","A","As a customer, I want to be able to see offers and testimonials.",""
"604","A","As a customer, I want to see the corresponding cover for a title on a detail page.","* Cover in this size ratio, see screenshot under (full) text. In terms of size and position. 
* Fix position for all product detail pages. 
* Cover should not jump if the number of lines of bibliographic data is different.   
* The images are permanently cached and scaled to the required size for the website so that we create as little data overhead as possible.  
"
"606","A","As a customer, I would like access to product types associated with the magazine.","* Title is displayed for the linked products   
"
"610","A","As a customer, I would like to be able to find out about the product benefits.",""
"614","A","As a customer, I can see all the important bibliographical information about a journal on the details page.","The information is displayed correctly in the correct order, if available."
"616","A","As a customer, I want to see a price for a product.",""
"622","A","As a customer, I would like to order a special single issue.",""
"628","A","As a customer, I would like to see bibliographic data on the printed works.",""
"636","A","As a user, I would like to see related products on the detail page.",""
"886","A","As a user of the website, I always want to see the total amount of my shopping basket directly, unless I am in the order process, so that I can easily trade the contents of my shopping basket.","1. the total of all individual items in the shopping basket is displayed here. (see below, 98,00 €)
2. the total amount is displayed as a button on the shopping basket symbol. (see below ""1"")
3. the total is updated as soon as I have added an item to the shopping basket.

 "
"887","A","As a customer, I would like to see all the necessary and important content on the individual info pages, such as the imprint.","* Click on the respective navigation point to link to the existing URL
* The order of the footer elements can be seen in the screenshot and the content, if available, should be taken from the current page and integrated into the new design.  
* Search results can be found under Products.
* The remaining pages are static content."
"888","A","As an anonymous user in the checkout, I would like a direct confirmation to let me know that my order was successful.",""
"889","A","As an anonymous customer, I would like to receive an order confirmation by e-mail so that I can consider my order as confirmed and archivable.","* Thank you - Page
* the order confirmation should be easy to print.
"
"890","A","As a customer, I would like to have speaking URLs so that I can recognise directly where I am.","* The Distinctive Title field from the TVO is used and the information from EAN for the ISBN part of the URL
* Every detail page call works and even titles with special characters are displayed in the URL and the title detail page can be called up
* Replace the special characters with ""\_"", with other URL-compatible characters
"
"892","A","As a customer, I would like to be able to switch between the product forms of a product on detailed pages.","* Button ""Print"", ""Print (apart)"" and ""Digital"" alternate white/blue with selection, see also Epic search result
* Print and apart are linked via RelationTypeCode 06. If available, then display print (apart)where the subtitle says apart, it is print apart, otherwise not.
* For the display of the product form selection to work, the products must be linked to each other via RelationTypeCode 06 (alternative format) in the backend.
* Clicking on buttons changes the display of the offer according to the information in backend.   
"
"897","A","As a customer, I would like to see related products on title detail pages for certain products so that my purchasing decisions are supported.","* Display next to the texts
* Display always on every detail page, so there is a fallback to the 3 most important products, the first 3 search priority
* Recommendations for you
* Related Code 23 is evaluated, then all products, maximum 5 for display
* Demarcation must be clearly visible, as on the start page
* The area of a recommendation is provided with a link to the corresponding detail page
* The cover, the title, the gross price with VAT label are displayed"
"898","A","As a user, I would like to have the ONIX product form displayed in addition to the merchant's product form for individual programmes in the Software format so that I can differentiate more as a user.","* Product form is equal to DB or DD or DI and merchandise management product forum is equal to software, then is displayed under Format: Software, CD-ROM (merchandise management product form)
* ISBN must also be displayed here"
"901","A","As a user of the website, I would like to see the GKV certificate for the products mentioned.",""
"902","A","As a merchant, I would like to have client newsletters and the accompanying CD labelled with special features, as these are very important products.","Presentation of the bibliography relates to the TVO from the field with code 02"
"904","A","As a user, I would like to have the option of ordering specialist portals for a test period to see whether the software meets my requirementsThe monthly pass should be used as a selection interface and added to the shopping basket.","* Monthly pass is treated as a product form like print or digital and does not display a search result, but only a detail page, comparable to the apart works
* By clicking on the ""Monthly pass for test"" button, the product detail page of the monthly pass is transferred to the shopping basket,
* Add to the confirmation of receipt sent to the customer:
We will create the individual access data for you.
* Monthly pass is displayed separately in the shopping basket, as well as in the order completion page and order confirmation.
* Monthly pass reacts like other product forms to each other, such as Print (Apart) to Print
* Instead of ""Add to basket"" -> ""Monthly pass for test"" is displayed on the details page
* Visualise the monthly pass more strongly (e.g. red)
* Extend bibliographic information to include the existing TVO short text field (02) and name it ""More information""
"
"906","A","As a customer, I would like to have a landing page for the firm's products so that I can find out about them.",""
"907","A","As a user, I would like to have a landing page for accountants to find out about products.",""
"908","A","As a user, I would like to have a landing page for companies to inform me about products.",""
"909","A","As a user, I want to visit a site with maximum performance, because that gives me a particularly good feeling when using the site.",""
"910","A","As a user of the website, I would like the API to return all the necessary information for a search result so that all the functions described can be used and called up in the front end.","=> Index: ensure completeness (details, articles)=> Search: deliver X hits, then X more (X is initially set to 3)=> Implement aftersearch, see 11104=> Sort by relevance, ranking, price, more(?), see 10970=> Index: max 4 contributors, from the DB by priority code B01, then code A01, sorted by SequenceNumber for more details see 10969
"
"911","A","As a user of product areas, I would like to have a form so that I can ask direct questions about my modules and programme areas quickly and easily.","* Creation of JSON file with all data to be entered in the MOment via the current frontend for the product area, programme area and modules
* Transfer wording
* Question area with validation for entry whether available or not
* Contact data
* Date picker and time window
* File upload with drag & drop and maximum upload size of 4 MB
* Submit area with checkboxes
* Stage is omitted
* with mail dispatch to Mrs Wuttke (configurable)"
"912","A","As a user of the website with login data, I would like to find the login window better structured.","* Name functioning login
* Rename ""Login area"" to ""Login centre""
* Accordion flush right with ""Login centre"" button
* Design: Button blue and font white, with selection, button white and font blue, frame blue
* Click on Accordion field, e.g. ""Online shop"", to open dropdown
* Rename the ""Shop Login"" field to ""Online Shop"" and keep it bold
* Spacing of the input fields like ""Specialised databases""
* Design and naming of fields, see wireframe
* All fields and all buttons the same length and width
* Field naming in the field and disappears with input
* Font like ""Shop Login"" only thin (not bold)
* Naming of fields: ""e-mail address"", ""password""
* Link ""Forgot password"" incl. the function
* Button ""Login""
* Default login data not MVP
   
 "
"913","A","As the site operator, I want my site to be optimised for search engines in order to be as high up in the search rankings as possible.","* SEO specification read completely
* All points that have to be done within the programme code of the website are done, the following things are extra tasks:
+ SSL encryption is a separate task and is not covered here
+ Google Tracking is a separate task and is not covered here
+ Sitemaps is a separate task and is not covered here
"
"914","A","As a user, I would like to find a somewhat clearer structure in the navigation.","1) Enlarge, see outline, and flush with left navigation start page, right login button and below with solutions for... finally 
2) Enlarge Recommendations window flush with About us, see dashed line
3) Coloured field with text in html ""Recommendations of the editors"" flush with first column, see dashed line --> keep existing image, will then be requested again
4) Cover image uniform and larger 
5) Play title 2 lines and if longer then dots ...
6) Linking All Products and then according to the category, e.g.: ""All Products Print"", which links accordingly to AfterSearch"
"915","A","As a user, I would like to be able to subscribe to a newsletter so that I am always informed about innovations.","* The methodology of the old page is used again. The content of the advert is structured differently. Product news is omitted. Contact form is also simplified.
* Mail dispatch to recipient for confirmation
* Confirmation on the page itself for successful registration
* Insert the recipient into the database
* Unsubscribe is possible
* The first name and surname fields must be included"
"916","A","As a user searching, I want to be able to sort my results in a meaningful way.","Standard sorting: 
* Publication date
* Price Ascending
* Price Descending"
"917","A","As a user, I expect that the active filters are always selected and that my legal area filters are updated when a media form filter is removed.",""
"920","A","As a user, I would also like to see the author information on the detail page.","AuthorDisplay as in the search result:
Keyname / Keyname (maximum 4, sorted by ContributorRole H01 > A01)
first in the bibliography:
Authors: Keyname / Keyname / Keyname / Keyname"
"921","A","As a user, I would like to see licence information for the individual software programs so that I can make better purchasing decisions.","* New field in the TVO, as well as reference period etc.
* Display in the bibliography, as the bottom item"
"922","A","As a user, I would like the assignment to a speciality to be relevant only at second level so that there are not too many assignments for the search, which may be confusing.","* When maintaining in the TVO, level 1 is partially assigned, this should be ignored when playing out for the AfterSearch
* The assignment of new specialist areas must work"
"923","A","As a user of the website, I would also like to be able to restrict to software seminars in order to be able to separate the seminars from the other search results, so that a certain clarity and findability of seminars and other products is improved.","* Test maintenance of a seminar on software seminars and check how the old page handles it.
* Naming software seminars
* Filter under media form in AfterSearch possible
* for the index we only take those seminars that also have related products
* all others are omitted
* This one product then lists all other seminars as related products with the information from textype code 21
* and is displayed on the detail page per related product line by line with wk button
* Under Services and the Seminars item, a search result is then executed with a restriction to seminars

"
"924","A","As a user of the website, I don't want to find the print apart works, otherwise I have the feeling of finding duplicate search results.","* Detail page of apart works can still be called up
* Print Apart works are no longer found as individual data records via the search function
"
"926","A","As a user, I would like to have the shipping costs for magazines shown in the shopping basket.","* Include merchandise management information from the backend in the domestic shipping costs field in the index and deliver it
* In the new WK method, the shipping costs must also be delivered"
"928","A","As a user, I would also like to be able to recognise the data for associated products on covers.","* Links are all there
"
"929","A","As a user, I would like to be able to order more than one copy at a time on a detail page.",""
"930","A","As a user, I would like to have a better search result sorted by default.","* The quick search provides useful search results
* Expectations are that titles with the word or words in the title appear first  "
"931","A","As a customer, I would like to have the opportunity to order a free trial of software products.","* Click on the ""Test now for free"" button to transfer to the shopping basket.
* The test access is displayed in the totaliser and in the WK with 0 euros and with test access as a quasi subtitle
* The following is added to the order confirmation: ""We will create the individual access data for you.
* (this text comes after: ""Thank you for your order of 12/02/2019, which we are happy to confirm"")
* Software products are only mentioned in the e-mail and excluded from the automatic ordering process.
* For the exclusion, these 4 software products are identified via the ISBN stored in the backend.
+ Operation
+ Office
+ Law Firm
+ Select"
"932","A","As an anonymous customer with a filled shopping basket, I would like to enter my address for the further order process in order to be able to have an order delivered.","* Input of job title works with autocomplete on a text box with the contents from the appendix, thus retaining the logic from the old shop for company input.  
* A text box is added with the placeholder ""If known"": Customer number. Located at the bottom. Not a mandatory field
* Back like browser.backNext goes to payment"
"933","A","As an anonymous user in the checkout, I would like to select a payment method to pay for an order.","* Back makes a browser backThere is no shipping area, it has been cancelled
* Next redirects to the confirm area.  
* In the mobile view, the SEPA text slides under the input fields and above the tick to confirm the mandate
* Instead of 2x account holder, once account holder and once IBAN"
"934","A","As an anonymous customer, I would like to see the summary of my order again.","* terms and conditions checkbox directly above the button and under total amount
* Product form not necessary, then only the continuation reference status is there"
"935","A","As a user, I would like to see references to other products in the shopping basket in addition to the products in the basket.","* All products that are linked with RelationTypeCode 23 to all products in the WK are displayed randomly sorted
* The width from back to checkout is utilised with a sensible product quantity
* The products are displayed under ""Checkout""
* Cover, title and gross price are displayed with /VAT. label are displayed
* Clicking on a title area leads to the detail page
* There is the option of transferring a title from the cross-selling advert directly to the WK"
"937","A","As an anonymous user, I would like to be able to register or log in to the site in order to access my customer data.","* as an anonymous user, after clicking on Checkout, the page with login and registration options appears
* Click on Let's go to enter the address of the checkout
* After successful registration, a completed address mask appears with all previous customer data
* Email (correct) instead of email (patternlab)
* E-mail text box intercepts incorrect entries via an e-mail validator
* Error messages are displayed in such a way that they are up to date in terms of security, e.g. only ""Registration not correct"" instead of displaying which field is exactly incorrect
* When clicking on Register, the previous address mask + password entry and repetition are displayed
* After entering the data, the data is saved in the database and a login is possible with the data
* After entering the data, the customer receives an e-mail in which he must confirm that he is the correct recipient
* The customer is informed that he can only continue with the registered data after confirming the e-mail
* The registration is retained for 7 days
* Standard texts are included for this communication
* After confirming the e-mail, the customer is taken to the login area in the WK and must log in, after which he continues as a logged-in user
"
"938","A","As a user, I would like my orders to be integrated automatically and error-free into the order flow as before.","* The orders from the new system end up in the same database as the previous orders and fill out all fields there
* The order CSV files are generated correctly and do not differ in any way from the previous files
* Monthly pass orders are also handled like any other product via this process"
"939","A","As a user of the website, I would like to be able to order via PayPal.","* The latest version of PayPal is integrated 
* PayPal is offered in the payment method selection and displayed accordingly with the PayPal logo 
* Integration is carried out according to the PayPal standard checkout process"
"940","A","As the operator of the website, I would like orders to have a value of at least 10 EUR in order to be able to keep the offer for free shipping.","* An order smaller than 10 EUR is not possible
"
"942","A","As a user, I would also like to be able to order individual issues of magazines so that I don't have to take out a subscription directly if I only find one article interesting.","* Single issues are a separate product form for magazines
* Product form is only displayed if single issues of magazines are also available
* Several copies of the single issue can be placed in the WK
* There are 2 selection boxes, one with the issue number and one with a year selection. 
* The issue selection is preselected with ""Issue""
* Product form is single issue
* The shipping costs are taken from the field ""Shipping costs single issue"" from the TVO per copy
* The issue quantity is taken from the ""Issues per year"" field in the TVO
"
"943","A","As a user with a smartphone, I want to be able to use the site with all its functions in a clean and understandable way.","* Login view in product navigation -> hides information, rather place it statically above
* Shopping basket button is missing in the mobile view on the shopping basket
* Home page information is displayed in the shopping basket 
* mobile navigation not possible -> areas must expand and can be accessed on the left
* Range of functions and price are not selectable
* History adjusted

"
"944","A","As a user, I would like to have the seals placed in a prominent and immediately visible area.","* For all products the images created in the backend are displayed
* The images should be integrated to the right of the shopping basket button so that they are clearly recognisable and existing functionalities are not restricted
* The previous location in the text area has been removed"
"945","A","As a user, I expect an SSL-encrypted site in order to have confidence in the operator.","* All pages are played out exclusively via https
* an SSL certificate is correctly integrated
* there is no mixxed content
* the certificate display in the browser always shows a secure page"
"946","A","As the operator of the old website, I want the changeover to the new website to run as smoothly as possible in terms of search engine findability and detailed pages.","* All detail pages under the old domain will be structured in the same way as the detail pages under the new domain
"
"947","A","As a user, I would like to use my existing data for the login.","* existing login data can be used for the login"
"948","A","As a user of the shop, I would like to see the correct prices on the shopping basket page and in the totaliser so that I am not confused when buying.","* Shopping basket page shows same price as totaliserPrices are correctCart blink indicates new routing"
"949","A","As a user, I would like to see that a trial version has been added to the shopping basket so that I can continue to the checkout process.","* Font whiteFeedback is recognised"
"950","A","As a user, I would like to see the message for the minimum order value only once.","* Minimum order value message may only be displayed once, with a subtitle indicating that it is a test product."
"951","A","As a customer, I want my functionalities to be displayed properly and not blurred so that they are easier for the user to read.",""
"952","A","As a user, I want the detail pages to be displayed correctly and the user-friendliness not to be restricted.","Certificates are positioned correctlyHTML structure is not damagedAll templates are tested with all functionality"
"953","A","As a customer, I want my image not to be too large and to be displayed in good quality.","* Banner is integrated in picture tag in different resolutions
* Images are optimised in file size
* breakpoints from css are taken into account
"
"954","A","As a user, I would like to be able to vary the quantity of items, even for vintages and covers, before adding them to the shopping basket.","The functionality is guaranteed as on all other detail pages"
"955","A","As a user, if I have selected payment by invoice, I do not want to have to enter any SEPA details.","When purchasing on account, validation for SEPA is suspendedSepa information text is only displayed if Sepa is selectedCheckout process takes payment types into account completely and fullyOne payment method is preselected"
"956","A","As a user, I would like to be redirected to the order completion page so that I can check my entries again.","* Data is written to the database for CSV order exports
* Page can be called up and contains all the necessary links, including test products, and the order completion page contains the same information as the shopping basket.  
* Shipping costs are displayed on the order completion page
* as in the shopping basket 'I have accepted the terms and conditions' Checkbox as for payment method, not marked orange
* Email dispatch works"
"957","A","As a user, I would like to see the correct VAT information.","* If the price is annualised, the VAT calculation is adjusted."
"958","A","As a user, I would like to see a price description so that I can make an easier purchase decision.","* PriceTypeDescription is displayed correctly and positioned appropriately for the layout."
"959","A","As a user, you want to pay the right price to benefit from the graduated prices.","VAT is calculated correctly and the unit price is selected correctly"
"960","A","As a user, I would like to be able to decide whether or not to order the selected article as a serialised product.","Continuation reference on shopping basket page is displayed correctly again **List: ""**the continuation reference is displayed on the order completion page"".
displayed on the order completion page""

  
"
"962","A","As a user, I would like to see either the ISBN labelled as ISBN, or the order number labelled as order number to know which number it is.","* Field urn is output as order numberField isbn13 is output as ISBN"
"963","A","As a user, I want the added value of software products to be displayed correctly so that I can read the content.","Added value is played out in software products"
"965","A","As a user, I would like to be able to access the shopping basket page via a more comprehensible navigation in the mobile view.","* Button of the totaliser works as a link"
"966","A","As a merchant, I want my website to run on older browsers so that I don't lose any customers.","* Compatibility checknetspirits asked how high the usage of IE 11 and below is"
"968","A","As a user, I would like to be able to register completely.",""
"971","A","As a user, I would like to see the titles of software product links under the cover so that I can better distinguish between the products.","* In the case of an order number, an order number is also displayed for the products
* The name for the link is taken from the ProductFormDescription field in the TVO from the composite of linked products
* If ProductFormDescription is filled, the info from this field is used for the title display under the cover, if not, the fallback is the ProductForm as before"
"972","A","As a user who wants to book a seminar, I would like to be able to name the participants by name and email for each seminar date so that the accounting department can quickly confirm the date for the customer.","* The number of participants determines the number of seminar bookings (example: 3 participants means the number 3 for the shopping basket quantity)
* The quantity cannot be manipulated in the shopping basket
* The total price is displayed correctly according to the quantity
* The request is implemented responsively and runs on Chrome, Firefox, IE11 and Edge
* Instead of ""add to shopping basket"" it says ""book seminar""
* After clicking on Book seminar, a mask opens that makes it possible to add participants with name and e-mail to the booking
* Via the mask I can add participants, cancel the entry and go to the shopping basket
* The screen only closes if I actively close it and do not click outside the screen
* Each participant must be able to be added individually and not with a mass entry so that the number can be determined
* The participants are displayed in the checkout process from the shopping basket to the order overview to the order confirmation email
*
"
"976","A","As a user of the CMS, I want all edited content to be retained even after a release and for the CMS to continue to function.",""
"978","A","As a user of the CMS, I would like to be able to add stage images, i.e. images across the entire width of a page.",""
"979","A","As a user of the CMS, I would like to be able to maintain a 2-page-wide grid with video, image and text content.",""
"985","A","As a user of Umbraco, I would like to be able to edit tabs and tab content on all product detail pages.",""
"986","A","As a maintainer of Umbraco, I would like to be able to add a video, image, html or text on all product pages and at any point across the entire width.",""
"987","A","As an Umbraco maintainer, I would also like to be able to maintain the content of popups within the product benefits.",""
"989","A","As an Umbraco maintainer, I can maintain a background on product detail pages and place a text on it.",""
"990","A","As a user of Umbraco, I would like to be able to edit the contents of the functional scopes by editing the contents of columns or rows.",""
"994","A","As a maintainer of Umbraco, I would like to be able to add a video, image, html or text on all product pages and at any point across the entire width.",""
"1001","A","As a maintainer of Umbraco, I would like to be able to add a video, image, html or text on all product pages and at any point across the entire width.",""
"1002","A","As a user of Umbraco, I would like to be able to edit the contents of the functional scopes by editing the contents of columns or rows.",""
"1004","A","As a user, I would like to be able to filter search results according to seminar subtypes in order to find relevant results.","* Aftersearch always displays all types that are part of the product database."
"1005","A","As a buyer, I would like to be able to enter a voucher code under ""Payment methods"" in order to receive a discount.","* The design fits into the overall concept. 
* Responsive 
* Usability is guaranteed (also in IE11) 
* The voucher entry is visible in the desktop area without having to scroll. 
* If the voucher entered is valid, the discount stored in the voucher is applied. 
* The result of the validation is only displayed on the order completion page. 
* The voucher value is calculated in accordance with legal requirements. 
* Voucher entry may only appear if at least one seminar is in the shopping cart"
"1006","A","As an admin, I want to generate voucher codes to grant discounts to certain customers.","* A random 8-digit alphanumeric code is generated when the button is clicked.
* The generated voucher code is unique.
* List of existing codes is displayed.
* Visual indicators for used voucher codes.
* The list is sorted in descending order by voucher creation date. The most recent voucher is displayed at the top.
* Fixed € values can be specified for vouchers."
"1007","A","As a buyer, I would like to see the discount granted to me in order to be able to understand the price shown.","* Discounts granted are shown in the order confirmation email. 
* The presentation corresponds to the design concept"
"1008","A","As a backend user, I would like to see my formatted text in the TinyMce editor as it will be displayed later in the frontend.","* Customise TinyMCE CSS class"
"1009","A","As a user, I would like to be able to swipe in an open mobile gallery view (tablet & co.","* Customise or replace lightbox script (research)
"
"1010","A","As a user, I would like the gallery to be displayed in the planned locations.","* Product page in the top content block
* Image thumbnail display in the style of the home page content block
"
"1012","A","As a user, I would like all new product features to be available in the webshop in the case of seminars so that I can search and find them more easily.","- The index has defined corresponding extended composites for ProductForm, SeminarType and SeminarTopic. - The import pulls all the required data from the TVO-DB and writes it to the extended index."
"1015","A","As a user of Umbraco, I would like to be able to maintain content as text, images and links within the content area on the start page.",""
"1018","A","As a user of the CMS, I would like to be able to edit the overviews for the complete solutions by being able to define drop-down areas and their contents:.",""
"151","B","As a user, I would like to order orderable and pre-order items together.","* Add notes
* Grouping of orderable & pre-orderable titles
* Shopping basket totaliser: pre-orderable titles are not integrated
* Order process otherwise remains as usual
"
"153","B","As a user, I only want to order items that can be pre-ordered.","* Selecting ""Collection"" is possible for pre-orders.
* Adaptation of the texts in the shopping basket (heading, reference to open invoice)
* Change of the totaliser: ""Pre-orders are delivered with open invoice"".
* ""Go to checkout"" => Navigation to ""Shipping"", all maintenance options as before (check bug: Further navigation with empty delivery address but selection ""Pickup"")
* ""Payment"" selection restricted to ""Invoice""
* ""Check order"": Integrate information texts
"
"155","B","As a logged in user, I would like to change my password.","* Option to change the password on the settings page of ""My account""
* Defaults for secure password identical to those when creating a new user
* Requires the password to be entered twice
* Successful password change is confirmed by a message
* The next login to the system will be made with the new password after a successful change."
"157","B","As a user, I would like to delete my account.","* ""Delete account"" button available in the settings 
* Security prompt indicating that the deletion process cannot be undone 
* Data protection notice on the further use of personal data 
* Confirmation of the deletion 
* All user data (user data, orders, watch lists, addresses, etc.) is deleted from the store 
* Store generates email notification to configurable email address"
"159","B","As a user, I would like to receive an e-mail notification after placing an order.","* Dispatch after successful order
* Reliability is guaranteed
* Dispatch to the user's e-mail address
* Contents as described above
"
"161","B","As a user, I would like to be able to use the search hit list in the mobile view.","* Focus on viewport: mobile & tablet
* Clear user guidance, most important information is recognisable at a glance
* Focus on function: shopping basket
* Sort & browse
* Aftersearch is possible
* Nice-to-have: watch lists
"
"163","B","As a user, I would like to use the shopping basket in the mobile view.","* Change quantities
* Delete article
* View total including all discounts
* Maintain notes at item level
* Grouped display of items that can be pre-ordered
* Navigate to the next order process step
* nice-to-have: watch list
"
"165","B","As a user, I would like to login to the order process in the mobile view.","* Set forwarding accordingly
* Login & registration are possible
* Guest order is hidden for the time being
"
"167","B","As a user, I would like to select my delivery details in the mobile view.","* Address maintenance and selection
* Shipping method selection
* Further navigation
"
"169","B","As a user, I would like to maintain my invoice details in the mobile view.","* Address maintenance
* Selection of payment method
* Making the payment for e.g. Wirecard
"
"171","B","As a user, I would like to use the page header in the mobile view.","* Clickable buttons: Home, search slot, log in / log out, shopping basket
* Main navigation points are findable and clickable
"
"173","B","As a user, I would like to pay in advance.","* Prepayment is selectable and will be transmitted as information to ERP
"
"175","B","As a user, I would like to have ""Payment in shop"" displayed as the payment method for ""Pick up in shop"".","* Delivery selection ""Pick up in shop"" causes the only payment method: ""Payment in shop""
"
"177","B","As a logged in user, I would like to access my account.","* Customised main navigation
* First settings page is available and contains user-specific information
"
"179","B","As a user, I would like to view new  publications.","* Pre-filtered search hit list according to criteria defined above
* URL is fixed
"
"181","B","As a user, I would like to see a list of past orders.","* List overview for orders placed
* Display of order date, order no., number of titles, total
* Newest first
"
"183","B","As a user, I would like to be able to change the number of pre-orders.","* Quantity information for pre-orderable items can be changed
"
"185","B","As a user, I would like to view my past orders in detail.","* Overview page:
+ Correct date display
+ Adjust sorting
* Order details page
* List all ordered items
* Price at the time of order
* Display of quantity and order notes (item & total)
* Availability is hidden
"
"187","B","As a user, I would like to find magazines.","* Export ignores custom journals
* backend maintenance of journals is possible
* Imported journals are found via the index & detail pages are available and display a meaningful set of data
"
"189","B","As a user, I would like to find online databases.","* Export ignores custom online databases
* backend maintenance of online databases is possible
* Imported online databases are found via the index & detail pages are available and display a meaningful set of data
"
"191","B","As a user, I don't want to see empty categories on the details page.","* Empty categories are hidden
"
"193","B","As a user, I would like to use my account area.","* Reduce menu navigation in ""My account
"
"195","B","As a user, I would like to have a nice placeholder displayed as a cover.","* Replace no-cover image
"
"197","B","As a user, I would like to have my addresses from the ERP system displayed.","* On login: Update of the billing address from ERP
* Display of ""Add new address"" the same everywhere
* Billing address & delivery address split in address management
* Billing address is not editable and unique
* Loading addresses from ERP
"
"199","B","As a user, I would like to have separate texts for a successful or unsuccessful order completion.","* Customisation of the display for the success case
* Adjustment of the display for the error case by Wirecard
* Breadcrumb is always displayed
"
"203","B","As a user, I would like to be able to use the start page in the mobile view.","* Key Visual
* Product Picker
* Centring the lower area
"
"209","B","As a user, I would like to have the payment method transferred correctly via the ERP system.","* Compare current values with the list once again
* Clarify value for invoice
"
"213","B","As a user, I would like to see the current availability of conferences.","* The availability (comes from ERP) is displayed (3 different statuses)
* seats available (green) [for more than 6 available seats]
* few seats available (orange) [if more than 1-5 seats available]
* no seats available (red) [if 0 seats available]
* Query the article number against the ERP interface
* Display on request (detail page, shopping basket)
"
"215","B","As a user, I would like to have covers displayed in the correct resolution system-wide.","* The cover is not scaled up on the details page: The layout is such that the covers are always sharp and easy to read
* Caching of appropriately scaled covers
* Configurability of the caching
* Custom titles always come from the file system
"
"219","B","As a user, I would like to register for a conference.","* Display of the different price options (note: per person) at the conference, not selectable
* Check of available places plus corresponding consideration for user interaction on the details page
* Preselection of the number of participants on the details page
* Preselection of the number of participants is persisted when clicking on ""Book"" for the checkout
* Pre-bookings are saved within the system: In this way, we avoid double bookings when there are actually no more places available
* Hit list leads to detail page
* Booking is only triggered by the details page
* If availability = 0, the number of people & button for booking are hidden / deactivated
"
"221","B","As a user, I would like to be guided through a special checkout for conferences.","* Forwarding by the wizard only for logged-in users
* Maintenance of participant information (first name, surname, e-mail address, price options per user)
* Intelligent control of min & max values for the number of participants
* Payment overview: billing address (cannot be changed), payment method (can be changed)
"
